train_no,train_name,zone,source_station,destination_station,current_station,day_of_week,month,festival,weather,temperature,humidity,visibility_km,rainfall_mm,track_congestion,station_congestion,previous_station_delay,average_route_delay,distance_from_source,distance_remaining,train_priority,locomotive_type,maintenance_flag,delay_minutes
12951,Mumbai Rajdhani,WR,NGP,PRYJ,NGP,Thursday,8,None,Storm,38.1,75,12.1,0,Low,Low,22,3,1157,498,Vande Bharat,WAP-5,No,17
12301,Howrah Rajdhani,ER,MAS,SBC,NDLS,Tuesday,4,None,Clear,28.4,27,9.6,0,High,Low,30,15,1777,1417,Freight,WAG-9,No,45
12951,Mumbai Rajdhani,WR,BCT,MAS,PRYJ,Saturday,9,None,Cloudy,9.2,60,0.4,0,Low,High,23,19,679,786,Vande Bharat,WAP-5,Yes,44
12622,Tamil Nadu Express,SR,NDLS,BCT,AGC,Saturday,7,None,Clear,30.4,98,14.3,0,Medium,Medium,19,9,175,1581,Freight,WDP-4D,Yes,28
12301,Howrah Rajdhani,ER,BCT,PRYJ,LKO,Thursday,2,None,Clear,13.7,69,4.9,0,Low,Low,20,8,53,183,Mail,WAP-7,No,20
11057,Amritsar Express,CR,NDLS,PRYJ,AGC,Monday,6,None,Clear,41.3,51,8.7,0,Low,High,5,10,515,505,Vande Bharat,WAG-9,Yes,25
12138,Punjab Mail,CR,BCT,LKO,PRYJ,Wednesday,3,None,Clear,39.1,68,12.1,0,Medium,Medium,0,20,815,653,Mail,WAG-9,Yes,20
12622,Tamil Nadu Express,SR,AGC,PRYJ,AGC,Thursday,11,Eid,Clear,15.4,89,2.9,0,High,Low,22,5,1022,285,Vande Bharat,WDP-4D,Yes,43
12627,Karnataka Express,SWR,MAS,LKO,SBC,Saturday,2,None,Clear,24.6,96,7.3,0,Medium,High,0,7,223,1574,Express,WDP-4D,Yes,17
12951,Mumbai Rajdhani,WR,HWH,MAS,MAS,Tuesday,6,Chhath,Rain,20.3,75,1.8,13,Medium,Low,0,7,50,988,Rajdhani,WDP-4D,No,30
12301,Howrah Rajdhani,ER,BCT,LKO,KOTA,Sunday,3,None,Clear,15.7,81,5.4,0,Low,Medium,7,0,1516,499,Freight,WAP-5,Yes,0
12622,Tamil Nadu Express,SR, NGP ,AGC,BPL,Friday,2,None,Clear,14.8,75,6.1,0,High,High,19,2,1637,1785,Freight,WAP-5,No,39
12622,Tamil Nadu Express,SR,CNB,BPL,BCT,Monday,11,Holi,Clear,27.5,60,9.0,0,High,Medium,0,4,274,641,Rajdhani,WAP-5,No,20
12301,Howrah Rajdhani,ER,LKO,KOTA,SBC,Thursday,10,None,Clear,30.1,93,5.9,0,Low,Medium,0,0,109,1772,Mail,WAP-7,No,0
12001,Shatabdi,NR,CNB,AGC,NGP,Sunday,8,None,Rain,33.3,73,10.7,57,Medium,Low,12,8,1125,1046,Rajdhani,WAP-7,No,32
12622,Tamil Nadu Express,SR,NGP,NDLS,SBC,Saturday,6,None,Clear,23.7,51,4.6,0,Low,Medium,8,23,1763,1455,Freight,WAG-9,Yes,31
12001,Shatabdi,NR,CNB,SBC,NDLS,Wednesday,11,None,Rain,30.1,41,5.0,91,Medium,Medium,0,0,259,1436,Express,WAP-5,Yes,21
12622,Tamil Nadu Express,SR,CNB,MAS,AGC,Friday,1,None,Clear,17.9,73,5.8,0,Low,High,15,0,1779,1585,Vande Bharat,WAP-7,No,25
12622,Tamil Nadu Express,SR,BCT,NGP,AGC,Sunday,8,None,Clear,15.8,54,5.0,0,Medium,Medium,3,6,33,254,Express,WAG-9,No,9
12951,Mumbai Rajdhani,WR,AGC,CNB,SBC,Monday,12,Holi,Cloudy,19.2,55,1.6,0,Medium,Medium,25,13,194,2,Express,WAG-9,Yes,38
12001,Shatabdi,NR,HWH,CNB,NGP,Sunday,3,None,Rain,33.7,35,14.8,55,High,Low,1,8,1313,1386,Express,WAP-7,Yes,24
12001,Shatabdi,NR,BPL,KOTA,SBC,Saturday,2,None,Clear,42.0,98,10.4,0,Low,Low,15,5,508,1133,Freight,WDP-4D,Yes,20
12627,Karnataka Express,SWR,CNB,NGP,HWH,Sunday,10,None,Rain,18.9,26,11.8,102,Low,Medium,3,11,861,748,Freight,WAP-5,No,39
12301,Howrah Rajdhani,ER,NDLS,HWH,BCT,Friday,4,None,Clear,42.1,70,7.7,0,High,High,0,7,1654,318,Freight,WDP-4D,No,17
12301,Howrah Rajdhani,ER,PRYJ,AGC,SBC,Wednesday,9,None,Cloudy,,75,1.9,0,High,High,26,12,1059,1603,Vande Bharat,WDP-4D,Yes,48
12622,Tamil Nadu Express,SR,LKO,PRYJ,SBC,Wednesday,2,None,Cloudy,9.1,74,4.2,0,Low,Medium,6,0,1175,1380,Vande Bharat,WAP-7,Yes,6
12951,Mumbai Rajdhani,WR,NDLS,SBC,CNB,Friday,6,None,Clear,42.0,42,14.0,0,Low,High,16,0,244,1028,Vande Bharat,WAP-7,Yes,18
22436,Vande Bharat,NR,NGP,NDLS,AGC,Sunday,4,None,Clear,18.4,59,5.0,0,High,Medium,18,8,1500,1119,Express,WAP-5,Yes,26
11057,Amritsar Express,CR,NDLS,CNB,NGP,Saturday,5,Diwali,Clear,40.5,62,0.2,0,High,Medium,21,0,190,89,Express,WAG-9,No,37
12138,Punjab Mail,CR,SBC,BCT,HWH,Thursday,5,None,Clear,38.3,29,9.0,0,Low,Medium,6,4,478,152,Express,WAP-5,Yes,10
12001,Shatabdi,NR,BCT,LKO,BPL,Tuesday,2,None,Clear,27.8,46,6.9,0,Medium,Medium,13,5,1456,508,Mail,WAG-9,Yes,18
12627,Karnataka Express,SWR,PRYJ,LKO,NDLS,Saturday,11,Holi,cloudy,28.6,90,3.9,0,Medium,Low,12,3,172,1192,Freight,WDP-4D,Yes,23
12951,Mumbai Rajdhani,WR,BCT,CNB,MAS,Tuesday,5,None,Clear,,62,2.0,0,Medium,Low,17,17,573,913,Express,WAP-7,Yes,26
12627,Karnataka Express,SWR,BPL,AGC,NGP,Friday,9,None,Clear,22.2,73,3.2,0,High,Low,0,0,658,795,Mail,WAP-5,Yes,8
12622,Tamil Nadu Express,SR,HWH,CNB,NDLS,Tuesday,10,None,Cloudy,10.2,80,8.0,0,High,Low,15,7,1733,1633,Passenger,WDP-4D,Yes,30
12001,Shatabdi,NR,CNB,HWH,KOTA,Monday,4,None,Fog,41.8,23,10.6,0,Medium,High,0,3,1232,448,Rajdhani,WAG-9,Yes,29
12622,Tamil Nadu Express,SR,HWH,CNB,LKO,Friday,2,None,Clear,37.7,61,1.1,0,Low,High,8,3,689,618,Mail,WAP-5,Yes,21
11057,Amritsar Express,CR,MAS,BPL,MAS,Thursday,10,None,Clear,28.8,98,11.8,0,Low,High,3,5,66,372,Freight,WDP-4D,Yes,18
12301,Howrah Rajdhani,ER,BPL,LKO,KOTA,Monday,1,None,Fog,44.3,41,9.6,0,Low,High,0,0,790,897,Vande Bharat,WAG-9,Yes,22
11057,Amritsar Express,CR,BPL,AGC,KOTA,Saturday,2,None,Rain,25.7,93,9.8,88,Low,Low,0,12,1120,190,Mail,WAG-9,Yes,18
11057,Amritsar Express,CR,MAS,LKO,HWH,Thursday,3,None,Cloudy,11.7,46,14.6,0,Medium,High,0,1,111,738,Rajdhani,WAG-9,Yes,11
12627,Karnataka Express,SWR,MAS,SBC,HWH,Wednesday,3,None,Clear,15.7,57,14.7,0,Medium,Low,5,15,912,91,Mail,WAG-9,No,20
12627,Karnataka Express,SWR,CNB,PRYJ,HWH,Thursday,10,None,Clear,32.7,30,10.1,0,High,Medium,25,6,482,975,Mail,WAP-7,No,39
12951,Mumbai Rajdhani,WR,NGP,HWH,NGP,Saturday,3,None,Fog,31.0,35,14.2,0,Medium,Low,16,6,1708,1218,Mail,WDP-4D,Yes,30
12301,Howrah Rajdhani,ER,AGC,NGP,AGC,Monday,5,Holi,Rain,27.2,21,11.8,80,High,High,11,4,1776,1096,Mail,WAG-9,No,42
11057,Amritsar Express,CR,MAS,BPL,HWH,Sunday,5,None,Rain,18.2,38,9.4,88,High,Medium,34,12,636,574,Passenger,WAP-7,Yes,69
12001,Shatabdi,NR,PRYJ,BPL,KOTA,Sunday,9,None,Clear,31.9,44,6.7,0,Medium,High,0,8,1800,1164,Rajdhani,WAP-5,Yes,18
22436,Vande Bharat,NR,NDLS,CNB,NDLS,Friday,6,Eid,Clear,34.1,55,5.7,0,Medium,High,0,18,705,334,Mail,WAP-7,No,28
12951,Mumbai Rajdhani,WR,AGC,NDLS,LKO,Friday,1,None,cloudy,15.9,,9.8,0,High,Low,8,16,458,516,Freight,WDP-4D,No,24
11057,Amritsar Express,CR,AGC,KOTA,BPL,Wednesday,5,None,Clear,33.1,70,8.9,0,Low,High,41,7,1311,665,Mail,WDP-4D,No,58
22436,Vande Bharat,NR,LKO,NGP,CNB,Friday,4,Diwali,Cloudy,37.7,96,6.2,0,Medium,High,11,9,702,1487,Vande Bharat,WAP-5,No,30
12622,Tamil Nadu Express,SR,NGP,PRYJ,LKO,Wednesday,7,Holi,Fog,14.7,32,7.2,0,High,Medium,7,0,1614,678,Mail,WDP-4D,No,62
12138,Punjab Mail,CR,BCT,BPL,NDLS,Friday,8,None,Cloudy,42.9,29,7.2,0,Low,High,23,16,293,647,Vande Bharat,WAP-5,Yes,49
12138,Punjab Mail,CR,KOTA,MAS,LKO,Thursday,1,None,Clear,24.7,46,11.5,0,Low,High,11,0,77,1093,Express,WDP-4D,Yes,21
12622,Tamil Nadu Express,SR,NGP,CNB,NDLS,Tuesday,6,None,Rain,17.2,64,4.8,14,Medium,High,3,5,1003,735,Express,WAP-5,No,24
12951,Mumbai Rajdhani,WR,CNB,SBC,SBC,Saturday,1,None,Storm,8.8,84,2.7,0,Medium,High,8,6,98,1412,Rajdhani,WAG-9,No,16
11057,Amritsar Express,CR,BCT,NGP,PRYJ,Monday,2,None,Clear,33.7,21,4.7,0,High,Low,5,2,1019,406,Freight,WAP-5,No,15
22436,Vande Bharat,NR,KOTA,AGC,PRYJ,Monday,5,None,Clear,41.7,81,5.1,0,Low,Low,0,0,1319,473,Passenger,WDP-4D,No,0
12138,Punjab Mail,CR,NDLS,BCT,LKO,Wednesday,12,Holi,cloudy,21.3,60,6.5,0,Low,Low,24,0,190,763,Mail,WAP-5,Yes,32
11057,Amritsar Express,CR,AGC,BPL,PRYJ,Friday,7,None,Fog,25.7,73,9.8,0,Low,Low,23,17,1595,734,Freight,WAP-7,Yes,80
12138,Punjab Mail,CR,BPL,BCT,AGC,Monday,7,None,Clear,32.2,21,10.6,0,High,High,11,0,1355,1488,Express,WAG-9,No,29
11057,Amritsar Express,CR,LKO,NGP,HWH,Monday,8,None,Clear,13.8,80,12.8,0,Low,Low,10,0,909,1640,Freight,WAG-9,Yes,10
12138,Punjab Mail,CR,BPL,KOTA,BCT,Wednesday,6,None,Storm,8.7,71,6.3,0,High,High,15,8,1690,111,Express,WAG-9,No,41
12138,Punjab Mail,CR,SBC,MAS,KOTA,Thursday,2,None,Fog,36.1,48,0.2,0,Medium,High,19,6,520,1251,Express,WAP-5,Yes,61
11057,Amritsar Express,CR, CNB ,BPL,CNB,Friday,3,None,Fog,23.3,95,2.0,0,Medium,Medium,0,0,1416,1184,Express,WAP-5,Yes,14
11057,Amritsar Express,CR,MAS,HWH,HWH,Sunday,12,None,Cloudy,22.2,97,13.8,0,Low,Medium,1,12,1121,1762,Mail,WAP-5,Yes,13
22436,Vande Bharat,NR,HWH,PRYJ,MAS,Sunday,9,None,Clear,44.3,42,7.7,0,High,High,7,11,585,1797,Passenger,WAP-7,Yes,28
